API,Response Code
DELETE /api/v3/Document/*,200
DELETE /api/v3/Obligation/*,200
DELETE /api/v3/agent/*,200
DELETE /api/v3/clients/*,200
DELETE /api/v3/contacts/*,200
DELETE /api/v3/template/*,200
DELETE /api/v3/fileinfo/*,200
DELETE /api/v3/store/*,200
GET /api/v3/*,200
GET /api/v3/Agent,200
GET /api/v3/Agent/*,200
GET /api/v3/ClientSummary/*,200
GET /api/v3/Clients,200
GET /api/v3/Clients/*,200
GET /api/v3/Clients/*/ClientNotes,200
GET /api/v3/Clients/*/Document?year=*&filingMonth=*&productTypeId=*&productTypeId=*&productTypeId=*,200
GET /api/v3/Clients/*/Document/Request?year=*&filingMonth=*&isReminder=*,200
GET /api/v3/Clients/*/Document/Request?year=*&filingMonth=*&productTypeId=*&productTypeId=*&productTypeId=*&isReminder=*,200
GET /api/v3/Clients/*/Document?clientId=*&year=*&filingMonth=*&productTypeId=*&productTypeId=*&productTypeId=*,200
GET /api/v3/Template?periodId=*&includeDeleted=*,200
GET /api/v3/Document?clientId=*,200
GET /api/v3/Store/*,200
GET /api/v3/contacts?ClientId=*,200
GET /api/v3/contacts?clientId=*,200
GET /api/v3/countries,200
GET /api/v3/languages,200
GET /api/v3/users/*,200
GET /api/v3/version,200
GET /auth-callback,200
GET /css/base.css?v=*,200
GET /images/favicon.png,200
GET /images/logo.svg,200
GET /lib/csv-js/csv.js,200
GET /login,200
GET /logout,200
GET /scripts/app.config.js?v=*,200
HEAD /,200
POST /api/v3/*,200
PUT /api/v3/Clients/*,200
POST /api/v3/Clients,201
